id,name,text,trans
0000000000000,ボーカルトレーナー,今日は特別授業として、あなたが\n学びたいことを教えますよ～。,今天是作为特别课程，来教你\n想学的东西哦～。
0000000000000,ボーカルトレーナー,何か聞きたいことは\nありますか～？,有什么想问的\n吗～？
select,,ボーカル指導の\n基礎,歌唱指导的\n基础
select,,喉の最新ケア方法,喉咙的最新护理方法
select,,課題曲の歌い方,课题曲的演唱方法
0000000000000,ボーカルトレーナー,わたしがいないときの、\n臨時レッスンのためですね。,这是为了我不在的时候，\n进行的临时训练呢。
0000000000000,ボーカルトレーナー,アイドルのために学ぶ姿勢、\nとってもいいと思います。,为了偶像而学习的态度，\n我觉得非常棒。
0000000000000,ボーカルトレーナー,それでは、分かりやすいところから、\n始めていきましょうか。,那么，先从容易理解的地方\n开始吧。
0000000000000,ボーカルトレーナー,アイドルの喉を守るため、ですか。,是为了保护偶像的喉咙吗。
0000000000000,ボーカルトレーナー,ふふっ、相変わらず、\nアイドルのことを大事にしてますね。,呵呵，你果然还是\n这么重视偶像呢。
0000000000000,ボーカルトレーナー,それでは、最新の喉ケア方法、\n全部教えちゃいましょうか。,那么，我就把最新的喉咙护理方法\n全部教给你吧。
0000000000000,ボーカルトレーナー,あらあら～プロデューサーも\nアイドルを目指すのかしら～？,哎呀呀～制作人也想\n成为偶像吗～？
0000000000000,ボーカルトレーナー,ふふっ、冗談ですよ♪\n歌の理解を深めたいんですよね～。,呵呵，开玩笑的啦♪\n你是想加深对歌曲的理解对吧～。
0000000000000,ボーカルトレーナー,それじゃあ、一から教えましょうか。\n厳しくいくから、覚悟してくださいね♪,那么，就从基础开始教起吧。\n我会很严格的，做好觉悟哦♪
info,adv_pevent_003_cmmn_school_1-003.txt,,
译者,,,
