id,name,text,trans
0000000000000,あさり先生,『H.I.F』が注目される理由、\n『<r\=プリマステラ>一番星</r>』十王星南さん……,『H.I.F』备受瞩目的原因，\n『<r\=プリマステラ>一等星</r>』十王星南同学……
0000000000000,あさり先生,担当プロデューサーとして、\n彼女のどこが優れていると思いますか？,作为负责培育的制作人，\n您认为她的哪方面最为出色？
select,,勝利への執念,对胜利的执念
select,,アイドルへの情熱,对偶像的热情
select,,数値では\n測れない力,无法用数值衡量的力量
0000000000000,あさり先生,たしかに。\nプロデュースの方針とはいえ……,确实如此。\n虽然这属于培育方针……
0000000000000,あさり先生,成長して勝利するために、これまでの\nイメージを崩す決断ができる。,为了成长并取得胜利，她能做出打破以往形象的决断。
0000000000000,あさり先生,その執念こそが、彼女を\n『<r\=プリマステラ>一番星</r>』へと導いたのでしょうね。,那份执念，\n才引领她走向了『<r\=プリマステラ>一等星</r>』吧。
0000000000000,あさり先生,たしかにそれも、\n十王さんの強力な武器ですね。,那也确实，\n是十王同学的一大强大武器呢。
0000000000000,あさり先生,アイドルを誰よりも愛するからこそ、\n一切の妥協を許さず、高みを目指す……,正因为比任何人都热爱偶像，\n她不容许丝毫妥协，追求更高境界……
0000000000000,あさり先生,その執念こそが、彼女を\n『<r\=プリマステラ>一番星</r>』へと導いたのでしょうね。,那份执念，\n才引领她走向了『<r\=プリマステラ>一等星</r>』吧。
0000000000000,あさり先生,それも正解ですね。彼女より、\n技術が高いアイドルはいますが……,这也是正确答案呢。虽然存在技术比她更高的偶像……
0000000000000,あさり先生,それでも彼女が、\nもっともファンを夢中にさせている。,但即便如此，她依然\n让粉丝最为着迷。
0000000000000,あさり先生,まさに、数値では計れない力……\nトップアイドルに相応しいですね。,正是无法用数值衡量的力量……\n配得上顶级偶像的称号呢。
info,adv_pevent_003_cmmn_school_1-006-02.txt,,
译者,,,
