id,name,text,trans
0000000000000,手毬,すごい……！\n小さい魚がいっぱい泳いでる……！,好厉害……！\n好多小鱼在游啊……！
0000000000000,手毬,え、なにあの魚……\n私の顔より大きくない！？,诶，那是什么鱼……\n不比我的脸还大吗！？
0000000000000,{user},とても楽しんでいただけているようで、\nなによりです。,看来您玩得很开心，\n这样最好了。
0000000000000,手毬,べ、別にそこまで楽しんでません！\nまあまあってとこですからっ！,又、又没开心到那种程度！\n也就一般般啦！
0000000000000,手毬,それで、次はどこに行くんですか？,那么，接下来去哪里？
select,,ラッココーナー,海獭区
select,,サメコーナー,鲨鱼区
select,,お土産コーナー,特产区
0000000000000,{user},ラッコはとてものんびり屋で、\nどこででも寝てしまうほどです。,海獭非常悠闲，\n甚至会随处睡觉。
0000000000000,{user},見ていると癒されますよ。,看着它们感觉好治愈啊。
0000000000000,手毬,どこででも寝る……\nなんだか、美鈴みたい。,随处睡觉……\n总感觉，有点像美铃呢。
0000000000000,手毬,ちょっと興味が湧きました。\nほら、早く見に行きましょう。,我有点感兴趣了。\n来，快点去看看吧。
0000000000000,{user},せっかくですから、水族館ならではの\n生き物を見ておくべきかと。,难得来一次，\n还是应该去看看水族馆特有的生物吧。
0000000000000,{user},では、さっそく\nサメコーナーに行きましょうか。,那，我们就赶紧\n去鲨鱼区吧。
0000000000000,手毬,…………,…………
0000000000000,{user},……急に距離が近くなったんですが、\nもしかして、怖いですか？,……你突然离这么近，\n难道说，是害怕吗？
0000000000000,手毬,そ、そんなこと\nあるわけないじゃないですか！,哪、哪有这回事啊！
0000000000000,手毬,お土産って……来たばっかりなのに、\nもう帰っちゃうの！？,特产……刚来就要回去了！？
0000000000000,{user},いえ、限定品のお土産があるので、\n先に行った方がよいかと。,不，因为有限定特产，\n我觉得先去比较好。
0000000000000,手毬,よ、よかった……ま、まあ、\nそんなことだろうと思ってましたけど！,太、太好了……虽、虽然，\n我早就猜到会是这样了！
0000000000000,{user},（寂しそうな顔をしていたのは、\n　見なかったことにしよう）,（那副寂寞的表情，\n 我就当作没看到吧）
0000000000000,手毬,ほら、プロデューサー！\n早く行きますよ！,你看，制作人！\n快点走吧！
info,adv_pevent_003_ttmr_activity_022.txt,,
译者,,,
