id,name,text,trans
0000000000000,学園長,『Hatsuboshi IDOL FESTIVAL』\n優勝者は――,『初星偶像嘉年华』\n冠军是——
0000000000000,手毬,届かなかった……かぁ。,还是……没能够到啊。
0000000000000,手毬,手を伸ばして……\n指先が触れたと思ったのに。,我伸出了手……\n明明感觉指尖已经碰到了。
0000000000000,手毬,やっぱり遠いね『<r\=プリマステラ>一番星</r>』。,果然好遥远啊『一等星』。
0000000000000,手毬,ごめん、プロデューサー。\nトップアイドルになるの……\nもうすこしだけ、待ってください。,对不起，制作人。\n成为顶级偶像这件事……\n请再等我一下下。
0000000000000,手毬,私たちの夢を叶えるの……\nもう少しだけ、待ってください。,实现我们的梦想……\n请再等我一下下。
0000000000000,手毬,いますぐ立て直して、\n動き始めますから。,我马上就会重整旗鼓，\n重新开始行动起来。
0000000000000,手毬,じゃあ、やりましょうか。,那么，我们开始吧。
0000000000000,手毬,月村手毬が、トップアイドルになる\nためのミーティングを。,月村手毬成为顶级偶像\n的讨论会。
info,adv_pstory_003_ttmr_final-failure-01.txt,,
译者,,,
